category,concept_id,score,fi
Cancer,2618058,1,vafi
Cancer,2618059,1,vafi
Cancer,2618060,1,vafi
Cancer,2618062,1,vafi
Cancer,2618063,1,vafi
Cancer,2618068,1,vafi
Cancer,2618069,1,vafi
Cancer,2618070,1,vafi
Cancer,2618071,1,vafi
Cancer,2618072,1,vafi
DuraMed,2718928,1,vafi
DuraMed,2718929,1,vafi
DuraMed,2718930,1,vafi
DuraMed,2718931,1,vafi
DuraMed,2718932,1,vafi
DuraMed,2718933,1,vafi
DuraMed,2718934,1,vafi
DuraMed,2718936,1,vafi
DuraMed,2718947,1,vafi
DuraMed,2718964,1,vafi
DuraMed,2718965,1,vafi
DuraMed,2718966,1,vafi
DuraMed,2718967,1,vafi
DuraMed,2718968,1,vafi
DuraMed,2718969,1,vafi
DuraMed,2718970,1,vafi
DuraMed,2718971,1,vafi
DuraMed,2718972,1,vafi
DuraMed,2718973,1,vafi
DuraMed,2718974,1,vafi
DuraMed,2719004,1,vafi
DuraMed,2719025,1,vafi
DuraMed,2719032,1,vafi
DuraMed,2719077,1,vafi
DuraMed,2719306,1,vafi
DuraMed,2719313,1,vafi
DuraMed,2719332,1,vafi
DuraMed,2719333,1,vafi
DuraMed,2719334,1,vafi
DuraMed,2719335,1,vafi
DuraMed,2719336,1,vafi
DuraMed,2719337,1,vafi
DuraMed,2719338,1,vafi
DuraMed,2719339,1,vafi
DuraMed,2719340,1,vafi
DuraMed,2719341,1,vafi
DuraMed,2719355,1,vafi
DuraMed,2719356,1,vafi
DuraMed,2719357,1,vafi
DuraMed,2719358,1,vafi
DuraMed,2719359,1,vafi
DuraMed,2719360,1,vafi
DuraMed,2719361,1,vafi
DuraMed,2719362,1,vafi
DuraMed,2719363,1,vafi
DuraMed,2719364,1,vafi
Hearing,2721066,1,vafi
CAD,2721131,1,vafi
CAD,2721132,1,vafi
CAD,2721133,1,vafi
CAD,2721134,1,vafi
CAD,2721135,1,vafi
DuraMed,2721622,1,vafi
DuraMed,4027467,1,vafi
DuraMed,2721624,1,vafi
DuraMed,2721625,1,vafi
DuraMed,2721626,1,vafi
DuraMed,2721627,1,vafi
DuraMed,2721641,1,vafi
DuraMed,2721642,1,vafi
DuraMed,2721643,1,vafi
DuraMed,2721644,1,vafi
DuraMed,2721652,1,vafi
DuraMed,2721653,1,vafi
Hearing,4110089,1,vafi
Hearing,2721915,1,vafi
Hearing,2721916,1,vafi
Hearing,2721918,1,vafi
Hearing,2721919,1,vafi
Hearing,2721920,1,vafi
Hearing,2721921,1,vafi
Hearing,2721922,1,vafi
Hearing,2721923,1,vafi
Hearing,2721925,1,vafi
Hearing,2721926,1,vafi
Hearing,2721927,1,vafi
Hearing,2721929,1,vafi
Hearing,2721930,1,vafi
Hearing,2721931,1,vafi
Hearing,2721933,1,vafi
Hearing,2721934,1,vafi
Hearing,2721935,1,vafi
Hearing,2721937,1,vafi
Hearing,2721938,1,vafi
Hearing,2721939,1,vafi
Hearing,2721940,1,vafi
Hearing,2721941,1,vafi
Hearing,2721942,1,vafi
Hearing,2721943,1,vafi
Hearing,2721944,1,vafi
Hearing,2721945,1,vafi
Hearing,2721946,1,vafi
Hearing,2721947,1,vafi
Hearing,2721948,1,vafi
Hearing,2721949,1,vafi
Hearing,2721950,1,vafi
Hearing,2721951,1,vafi
Hearing,2721952,1,vafi
Hearing,2721953,1,vafi
Hearing,2721954,1,vafi
Hearing,2721955,1,vafi
Hearing,2721956,1,vafi
Hearing,2721957,1,vafi
Hearing,2721958,1,vafi
Hearing,2721959,1,vafi
Hearing,2721960,1,vafi
Hearing,2721961,1,vafi
Hearing,2721962,1,vafi
Hearing,2721963,1,vafi
Liver,4092685,1,vafi
Cancer,138074,1,vafi
Cancer,132565,1,vafi
Cancer,133969,1,vafi
Cancer,138351,1,vafi
Cancer,137219,1,vafi
Cancer,132832,1,vafi
Cancer,255192,1,vafi
Cancer,133710,1,vafi
Cancer,4155171,1,vafi
