category,concept_id,score,fi,chronic_category
Fragility fracture,437703,1,efi_sno,1
Fragility fracture,4015495,1,efi_sno,1
Fragility fracture,4009606,1,efi_sno,1
Fragility fracture,4173672,1,efi_sno,1
Fragility fracture,4009607,1,efi_sno,1
Fragility fracture,4012433,1,efi_sno,1
Fragility fracture,4015496,1,efi_sno,1
Fragility fracture,433856,1,efi_sno,1
Fragility fracture,4015976,1,efi_sno,1
Fragility fracture,4015501,1,efi_sno,1
Fragility fracture,40408550,1,efi_sno,1
Fragility fracture,4015502,1,efi_sno,1
Fragility fracture,4009610,1,efi_sno,1
Fragility fracture,4015979,1,efi_sno,1
Fragility fracture,4012436,1,efi_sno,1
Fragility fracture,4015981,1,efi_sno,1
Fragility fracture,4015503,1,efi_sno,1
Fragility fracture,40408569,1,efi_sno,1
Fragility fracture,436248,1,efi_sno,1
Fragility fracture,442560,1,efi_sno,1
Fragility fracture,4015764,1,efi_sno,1
Fragility fracture,4017669,1,efi_sno,1
Fragility fracture,4012285,1,efi_sno,1
Fragility fracture,4015081,1,efi_sno,1
Fragility fracture,4018351,1,efi_sno,1
Fragility fracture,4343476,1,efi_sno,1
Fragility fracture,4343557,1,efi_sno,1
Fragility fracture,4343341,1,efi_sno,1
Fragility fracture,4346396,1,efi_sno,1
Fragility fracture,4346398,1,efi_sno,1
Fragility fracture,4346399,1,efi_sno,1
Fragility fracture,4343558,1,efi_sno,1
Fragility fracture,4343342,1,efi_sno,1
Fragility fracture,4138277,1,efi_sno,1
Fragility fracture,4174520,1,efi_sno,1
Fragility fracture,4134322,1,efi_sno,1
Fragility fracture,4047787,1,efi_sno,1
Fragility fracture,4307813,1,efi_sno,1
Fragility fracture,4053828,1,efi_sno,1
Fragility fracture,4138301,1,efi_sno,1
Fragility fracture,4138412,1,efi_sno,1
Fragility fracture,4135747,1,efi_sno,1
Fragility fracture,4136839,1,efi_sno,1
Fragility fracture,4136840,1,efi_sno,1
Fragility fracture,4133012,1,efi_sno,1
Fragility fracture,4135748,1,efi_sno,1
Fragility fracture,4083820,1,efi_sno,1
Fragility fracture,4085377,1,efi_sno,1
Fragility fracture,4085893,1,efi_sno,1
Fragility fracture,4085898,1,efi_sno,1
Fragility fracture,4083822,1,efi_sno,1
Fragility fracture,4085250,1,efi_sno,1
Fragility fracture,4085890,1,efi_sno,1
Fragility fracture,4103168,1,efi_sno,1
Fragility fracture,4199545,1,efi_sno,1
Fragility fracture,4144784,1,efi_sno,1
Fragility fracture,440863,1,efi_sno,1
Fragility fracture,136834,1,efi_sno,1
Fragility fracture,4207924,1,efi_sno,1
Fragility fracture,4209549,1,efi_sno,1
Fragility fracture,4210556,1,efi_sno,1
Fragility fracture,4206888,1,efi_sno,1
Fragility fracture,4347301,1,efi_sno,1
Fragility fracture,4209104,1,efi_sno,1
